iso3c,country,year,gdp_pc_current_usd,health_exp_pct_gdp,htn_prevalence_pct,htn_treatment_pct,country_id,year_c,log_gdp,log_gdp_z,health_exp_z,year_z,htn_prev_z,htn_treat_z,post_htn_prevalence_pct,post_htn_treatment_pct,cf_htn_treatment_pct_plus20
ARG,Argentina,2019,11250.06,9.43,41.2,41.0,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,1.030885739794011,-0.3295339790778655,42.53808236222393,41.67055954939347,61.67055954939347
ARG,Argentina,2019,11250.06,9.43,41.2,35.3,0,1.5,9.328128740951676,-0.008110408604021664,0.6425452748000818,0.7276068751089989,1.030885739794011,-0.68084514131175,42.55570201664944,37.675341778395065,57.675341778395065
AUS,Australia,2015,53874.15,9.42,26.2,55.7,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-1.0274095078202625,0.576479018262152,27.252032547624424,53.9833348624305,73.9833348624305
AUS,Australia,2015,53874.15,9.42,26.2,48.4,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-1.0274095078202625,0.12655419645384378,27.267845704419436,48.879654069567735,68.87965406956774
AUS,Australia,2015,53874.15,9.42,26.2,51.7,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-1.0274095078202625,0.3299448693260928,27.251202670968066,51.17575531077942,71.17575531077942
AUS,Australia,2015,53874.15,9.42,32.4,55.7,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-0.17664747213969645,0.576479018262152,31.615290613465685,54.07844451696146,74.07844451696147
AUS,Australia,2015,53874.15,9.42,32.4,48.4,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-0.17664747213969645,0.12655419645384378,31.59263668915727,48.97899155373855,68.97899155373855
AUS,Australia,2015,53874.15,9.42,32.4,51.7,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-0.17664747213969645,0.3299448693260928,31.577718280330746,51.27447094374226,71.27447094374226
AUS,Australia,2015,53874.15,9.42,29.3,55.7,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-0.6020284899799793,0.576479018262152,29.408519273382797,54.03615405692562,74.03615405692562
AUS,Australia,2015,53874.15,9.42,29.3,48.4,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-0.6020284899799793,0.12655419645384378,29.42273009054585,48.90111144960579,68.90111144960579
AUS,Australia,2015,53874.15,9.42,29.3,51.7,1,-2.5,10.894406050019406,1.3294169088568304,0.6394897452370033,-1.212678125181665,-0.6020284899799793,0.3299448693260928,29.433240632261512,51.19006659149289,71.1900665914929
AUS,Australia,2016,55425.33,9.54,26.2,54.3,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-1.0274095078202625,0.4901920661345309,27.19055963828593,53.178525968248216,73.17852596824821
AUS,Australia,2016,55425.33,9.54,26.2,50.9,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-1.0274095078202625,0.2806380395388807,27.226063692189392,50.805073207729656,70.80507320772966
AUS,Australia,2016,55425.33,9.54,26.2,48.1,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-1.0274095078202625,0.1080641352836395,27.204238648528943,48.86612314317322,68.86612314317321
AUS,Australia,2016,55425.33,9.54,32.4,54.3,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-0.17664747213969645,0.4901920661345309,31.54590516041184,53.26892003910277,73.26892003910277
AUS,Australia,2016,55425.33,9.54,32.4,50.9,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-0.17664747213969645,0.2806380395388807,31.5773682942814,50.93360218183198,70.93360218183199
AUS,Australia,2016,55425.33,9.54,32.4,48.1,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-0.17664747213969645,0.1080641352836395,31.519700728256712,48.937493104605906,68.9374931046059
AUS,Australia,2016,55425.33,9.54,29.3,54.3,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-0.6020284899799793,0.4901920661345309,29.387293551949806,53.26264535067949,73.26264535067949
AUS,Australia,2016,55425.33,9.54,29.3,50.9,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-0.6020284899799793,0.2806380395388807,29.385543183322536,50.85198914679214,70.85198914679214
AUS,Australia,2016,55425.33,9.54,29.3,48.1,1,-1.5,10.922791988458668,1.353657168148382,0.6761560999939458,-0.7276068751089989,-0.6020284899799793,0.1080641352836395,29.398133507735313,48.8969112419635,68.8969112419635
AUS,Australia,2017,56285.29,9.45,26.2,52.7,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-1.0274095078202625,0.3915784065601076,27.133032711163498,52.154905809040045,72.15490580904005
AUS,Australia,2017,56285.29,9.45,26.2,49.9,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-1.0274095078202625,0.21900450230486593,27.15412503420379,50.21320910169881,70.21320910169881
AUS,Australia,2017,56285.29,9.45,26.2,47.6,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-1.0274095078202625,0.07724736666663211,27.173567428036108,48.56896612737624,68.56896612737624
AUS,Australia,2017,56285.29,9.45,29.2,52.7,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-0.6157504582974079,0.3915784065601076,29.27227286792368,52.2350379593004,72.2350379593004
AUS,Australia,2017,56285.29,9.45,29.2,49.9,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-0.6157504582974079,0.21900450230486593,29.2746597821492,50.26774812444701,70.26774812444701
AUS,Australia,2017,56285.29,9.45,29.2,47.6,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-0.6157504582974079,0.07724736666663211,29.276721639950058,48.69157919159518,68.69157919159518
AUS,Australia,2017,56285.29,9.45,32.3,52.7,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-0.19036944045712514,0.3915784065601076,31.461619690302093,52.287289829010874,72.28728982901087
AUS,Australia,2017,56285.29,9.45,32.3,49.9,1,-0.5,10.93818850112528,1.366805067416286,0.6486563339262388,-0.24253562503633297,-0.19036944045712514,0.21900450230486593,31.457978353194527,50.29276675021077,70.29276675021077
